interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
21600.00;25200.00;21600_to_25200;1;0.42;0;9;693295225;0;0;0.42;8;0.19;9.45;84.65;6.49;0.78;9.64;8.63;0.00
21600.00;25200.00;21600_to_25200;4;2.44;2;59;70724347#1;0;0;2.44;57;1.15;12.60;755.62;7.24;0.87;73.24;11.89;0.00
21600.00;25200.00;21600_to_25200;3;7.58;3;182;720012594#0;0;0;7.58;182;3.54;10.99;2030.49;7.22;0.87;221.17;10.28;0.00
21600.00;25200.00;21600_to_25200;4;4.86;2;85;720012595#0;0;0;4.86;83;2.32;19.37;1682.65;5.23;0.63;612.46;18.29;331.00
21600.00;25200.00;21600_to_25200;3;7.43;0;92;745660413#0;0;0;7.43;89;3.02;4.24;389.39;4.62;0.55;168.87;3.27;65.00
21600.00;25200.00;21600_to_25200;4;133.33;5;147;745660413#1;0;0;133.33;148;3.62;0.91;136.94;5.69;0.68;42.46;0.07;5.00
21600.00;25200.00;21600_to_25200;3;8.05;3;97;759157551;0;0;8.05;98;2.82;3.08;303.68;5.03;0.91;68.82;2.19;0.00
21600.00;25200.00;21600_to_25200;3;0.67;0;17;7682864#1;0;0;0.67;14;0.31;9.87;167.72;7.56;0.91;13.51;9.13;0.00
21600.00;25200.00;21600_to_25200;2;0.29;2;5;7682864#2;0;0;0.29;5;0.14;12.16;82.53;6.96;0.83;13.97;11.20;1.00
21600.00;25200.00;21600_to_25200;7;0.38;1;9;7682875;0;0;0.38;3;0.18;15.81;154.56;7.43;0.89;14.30;15.12;0.00
21600.00;25200.00;21600_to_25200;2;1.42;4;20;772942669;0;0;1.42;22;0.68;23.78;565.56;4.87;0.88;69.49;22.76;0.00
21600.00;25200.00;21600_to_25200;3;4.99;2;42;781742860#1;0;0;4.99;41;2.38;18.50;808.40;2.70;0.32;543.71;17.28;401.00
21600.00;25200.00;21600_to_25200;3;2.29;1;30;781742860#3;0;0;2.29;28;1.06;10.58;325.79;4.21;0.51;157.16;9.60;86.00
21600.00;25200.00;21600_to_25200;2;1.28;3;28;781742860#4;0;0;1.28;29;0.61;18.03;556.45;6.95;0.83;78.76;17.32;0.00
21600.00;25200.00;21600_to_25200;5;0.23;0;6;8152033#0;0;0;0.23;1;0.11;9.35;55.97;7.61;0.91;5.15;8.68;0.00
21600.00;25200.00;21600_to_25200;0;3.94;2;78;8152035#0;0;0;3.94;79;1.86;15.50;1229.77;5.91;0.71;330.62;14.32;123.00
21600.00;25200.00;21600_to_25200;2;0.66;3;13;8152036#0;0;0;0.66;14;0.32;21.75;344.68;6.94;0.83;37.58;20.49;0.00
21600.00;25200.00;21600_to_25200;4;1.85;3;42;8152037#0;0;0;1.85;41;0.84;8.39;374.54;7.31;0.88;43.54;7.71;0.00
21600.00;25200.00;21600_to_25200;4;1.88;3;41;8152037#1;0;0;1.88;40;0.86;8.47;369.82;7.04;0.84;54.88;7.71;2.00
21600.00;25200.00;21600_to_25200;1;2.82;4;64;8152038;0;0;2.82;67;1.33;13.20;895.12;7.06;0.85;125.23;12.39;5.00
