tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
269.00;4726679#1_0;165.48;8.48;135.00;0.00;963479927#0_0;5.10;0.00;tripinfo_75 routing_75;134.00;75;1;1011.03;1.02;0.00;31.47;DEFAULT_VEHTYPE;;1;12.00
270.00;4730636_0;92.74;5.57;20.00;2.00;628782529#0_0;5.10;0.00;tripinfo_10 routing_10;250.00;10;1;1732.82;1.09;0.00;49.02;DEFAULT_VEHTYPE;;1;10.00
270.00;37535329#0_0;0.20;6.84;92.00;0.20;507818916_0;5.10;0.00;tripinfo_51 routing_51;178.00;51;1;1148.35;0.88;0.00;19.53;DEFAULT_VEHTYPE;;0;0.00
270.00;30239233#0_0;39.55;8.21;170.00;0.80;1188284582#2_0;5.10;0.00;tripinfo_94 routing_94;100.00;94;1;350.31;1.00;0.00;65.70;DEFAULT_VEHTYPE;;2;50.00
271.00;900443644#0_0;26.04;8.25;193.00;0.40;96016135_0;3.42;0.00;tripinfo_107 routing_107;78.00;107;1;488.34;1.01;0.00;16.44;DEFAULT_VEHTYPE;;1;1.00
272.00;510481270_0;24.43;7.04;132.00;0.60;33301560_0;5.10;0.00;tripinfo_73 routing_73;140.00;73;1;651.79;0.91;0.00;53.47;DEFAULT_VEHTYPE;;2;37.00
276.00;-400062405_0;29.73;5.14;80.00;0.80;-4730648#1_0;5.10;0.00;tripinfo_44 routing_44;196.00;44;1;1310.26;0.96;0.00;22.49;DEFAULT_VEHTYPE;;0;0.00
277.00;393494867_0;128.13;12.22;31.00;0.40;181218814#1_0;5.10;0.00;tripinfo_17 routing_17;246.00;17;1;1986.47;0.94;0.00;30.61;DEFAULT_VEHTYPE;;0;0.00
278.00;-236306864#4_0;103.74;7.70;0.00;0.00;4730616#1_0;0.67;0.00;tripinfo_0 routing_0;278.00;0;1;2154.82;1.06;0.00;32.63;DEFAULT_VEHTYPE;;1;4.00
279.00;4726717_0;337.28;13.82;4.00;0.40;552794577_0;5.10;0.00;tripinfo_2 routing_2;275.00;2;1;2192.92;1.01;0.00;39.73;DEFAULT_VEHTYPE;;0;0.00
279.00;4392761#3_0;0.20;5.13;144.00;0.00;-4726710#1_0;5.10;0.00;tripinfo_80 routing_80;135.00;80;1;808.59;1.06;0.00;28.01;DEFAULT_VEHTYPE;;1;7.00
280.00;567036033_0;35.92;7.68;200.00;0.20;34065519_0;5.10;0.00;tripinfo_111 routing_111;80.00;111;1;515.57;1.06;0.00;9.42;DEFAULT_VEHTYPE;;0;0.00
283.00;117055114#0_0;42.57;7.36;2.00;0.20;137238867#0_0;5.10;0.00;tripinfo_1 routing_1;281.00;1;1;3057.30;0.94;0.00;29.00;DEFAULT_VEHTYPE;;1;2.00
285.00;31449018_0;172.85;6.31;9.00;0.00;1188284582#2_0;5.10;0.00;tripinfo_5 routing_5;276.00;5;1;1689.88;0.83;0.00;34.41;DEFAULT_VEHTYPE;;1;3.00
287.00;410939626_0;0.20;13.97;215.00;0.80;4392761#2_0;5.10;0.00;tripinfo_119 routing_119;72.00;119;1;640.28;1.03;0.00;24.86;DEFAULT_VEHTYPE;;1;14.00
289.00;28275167_0;48.18;7.92;159.00;0.60;47896065_0;5.10;0.00;tripinfo_88 routing_88;130.00;88;1;881.03;1.00;0.00;14.61;DEFAULT_VEHTYPE;;0;0.00
292.00;180156396#0_0;36.55;7.22;53.00;0.80;-96016135_0;2.26;0.00;tripinfo_29 routing_29;239.00;29;1;1701.19;0.93;0.00;45.74;DEFAULT_VEHTYPE;;2;10.00
294.00;180156396#1_0;131.14;6.46;85.00;0.40;-4726710#1_0;5.10;0.00;tripinfo_47 routing_47;209.00;47;1;1489.27;1.04;0.00;51.29;DEFAULT_VEHTYPE;;2;19.00
295.00;393494867_0;128.13;11.43;13.00;0.40;4730631#0_0;5.10;0.00;tripinfo_7 routing_7;282.00;7;1;2157.46;0.89;0.00;25.71;DEFAULT_VEHTYPE;;0;0.00
296.00;1196782590#0_1;181.75;13.82;38.00;0.20;1198625656_0;5.10;0.00;tripinfo_21 routing_21;258.00;21;1;2033.41;1.01;0.00;69.85;DEFAULT_VEHTYPE;;5;34.00
297.00;1053478472#3_0;179.49;8.69;101.00;0.20;31411842_0;5.10;0.00;tripinfo_56 routing_56;196.00;56;1;1486.19;1.10;0.00;26.51;DEFAULT_VEHTYPE;;1;4.00
300.00;14858642#1_1;61.94;15.24;166.00;0.40;231945290#0_0;5.10;0.00;tripinfo_92 routing_92;134.00;92;1;1751.76;1.15;0.00;14.34;DEFAULT_VEHTYPE;;0;0.00
301.00;856293285#1_0;473.70;13.23;63.00;0.00;1188284582#2_0;5.10;0.00;tripinfo_35 routing_35;238.00;35;1;2847.58;1.01;0.00;28.18;DEFAULT_VEHTYPE;;1;3.00
301.00;4392761#0_1;50.23;14.28;81.00;0.00;-628755544#4_0;5.10;0.00;tripinfo_45 routing_45;220.00;45;1;1236.12;1.09;0.00;127.27;DEFAULT_VEHTYPE;;4;101.00
303.00;1053478472#3_0;179.49;7.60;157.00;0.40;628782529#0_0;5.10;0.00;tripinfo_87 routing_87;146.00;87;1;1106.63;1.03;0.00;21.72;DEFAULT_VEHTYPE;;1;1.00
305.00;8152056_0;117.51;5.43;90.00;1.80;963479927#0_0;5.10;0.00;tripinfo_49 routing_49;215.00;49;1;1430.63;1.00;0.00;38.17;DEFAULT_VEHTYPE;;2;10.00
311.00;-524150338#1_0;34.65;8.83;24.00;0.60;40493418_0;5.10;0.00;tripinfo_13 routing_13;287.00;13;1;2022.10;1.12;0.00;69.41;DEFAULT_VEHTYPE;;3;35.00
317.00;1053478472#3_0;179.49;7.66;20.00;0.20;14858868_0;5.10;0.00;tripinfo_11 routing_11;297.00;11;1;1912.90;1.03;0.00;97.20;DEFAULT_VEHTYPE;;2;59.00
320.00;-4730648#1_0;143.10;7.77;117.00;0.00;14858868_0;5.10;0.00;tripinfo_65 routing_65;203.00;65;1;1461.89;1.08;0.00;21.35;DEFAULT_VEHTYPE;;0;0.00
323.00;40487883_0;138.83;7.76;26.00;0.80;65583365#1_0;5.10;0.00;tripinfo_14 routing_14;297.00;14;1;1868.40;0.99;0.00;66.81;DEFAULT_VEHTYPE;;2;30.00
325.00;237344387_0;38.08;5.42;83.00;0.20;625259600_0;5.10;0.00;tripinfo_46 routing_46;242.00;46;1;1566.55;1.04;0.00;58.32;DEFAULT_VEHTYPE;;2;23.00
325.00;96016135_0;3.42;4.75;229.00;0.40;963479927#0_0;5.10;0.00;tripinfo_127 routing_127;96.00;127;1;557.03;0.92;0.00;16.23;DEFAULT_VEHTYPE;;1;3.00
326.00;693295225_0;56.32;7.49;116.00;0.80;8152060#0_0;5.10;0.00;tripinfo_64 routing_64;210.00;64;1;1634.02;0.97;0.00;32.99;DEFAULT_VEHTYPE;;1;10.00
326.00;4726706#2_0;132.38;8.40;150.00;0.60;13654453_0;5.10;0.00;tripinfo_83 routing_83;176.00;83;1;1546.16;1.03;0.00;22.02;DEFAULT_VEHTYPE;;1;1.00
332.00;158331590_0;10.08;6.22;44.00;0.80;4726717_0;5.10;0.00;tripinfo_24 routing_24;288.00;24;1;2089.58;0.83;0.00;34.00;DEFAULT_VEHTYPE;;0;0.00
333.00;839709054_0;133.62;12.93;173.00;0.20;13654453_0;5.10;0.00;tripinfo_96 routing_96;160.00;96;1;2072.74;1.01;0.00;10.82;DEFAULT_VEHTYPE;;0;0.00
333.00;4726712_0;137.50;7.24;209.00;0.20;4392761#3_0;0.20;0.00;tripinfo_116 routing_116;124.00;116;1;975.06;1.07;0.00;16.26;DEFAULT_VEHTYPE;;0;0.00
335.00;510481270_0;24.43;8.14;51.00;0.60;1041085657_0;5.10;0.00;tripinfo_28 routing_28;284.00;28;1;2320.61;1.13;0.00;59.62;DEFAULT_VEHTYPE;;2;25.00
336.00;606127854_0;16.43;4.24;124.00;1.60;-4726710#1_0;5.10;0.00;tripinfo_68 routing_68;212.00;68;1;1282.13;0.99;0.00;38.97;DEFAULT_VEHTYPE;;0;0.00
338.00;-17073048#1_0;18.49;7.13;164.00;0.20;963479927#0_0;5.10;0.00;tripinfo_91 routing_91;174.00;91;1;1167.66;0.97;0.00;31.41;DEFAULT_VEHTYPE;;2;8.00
342.00;628757206#0_0;106.32;7.73;125.00;0.80;625259600_0;5.10;0.00;tripinfo_69 routing_69;217.00;69;1;1925.23;0.94;0.00;25.84;DEFAULT_VEHTYPE;;1;3.00
343.00;839709054_0;133.62;12.98;146.00;0.20;1198625658_0;5.10;0.00;tripinfo_81 routing_81;197.00;81;1;1312.79;0.96;0.00;46.08;DEFAULT_VEHTYPE;;2;21.00
345.00;839709054_0;133.62;13.59;114.00;0.60;450925440_0;5.10;0.00;tripinfo_63 routing_63;231.00;63;1;1738.66;1.02;0.00;41.12;DEFAULT_VEHTYPE;;1;12.00
347.00;393494867_0;128.13;12.18;126.00;0.00;31411842_0;5.10;0.00;tripinfo_70 routing_70;221.00;70;1;1712.89;0.88;0.00;20.64;DEFAULT_VEHTYPE;;0;0.00
347.00;1196782590#0_1;181.75;13.80;171.00;0.00;29000804.26_0;5.10;0.00;tripinfo_95 routing_95;176.00;95;1;1559.45;1.04;0.00;50.05;DEFAULT_VEHTYPE;;3;20.00
360.00;8152033#0_0;66.21;6.81;204.00;0.60;31411842_0;5.10;0.00;tripinfo_113 routing_113;156.00;113;1;856.57;0.97;0.00;26.34;DEFAULT_VEHTYPE;;1;6.00
361.00;36801004#2_1;43.35;13.70;315.00;0.00;963479927#0_0;5.10;0.00;tripinfo_175 routing_175;46.00;175;1;563.46;1.08;0.00;7.59;DEFAULT_VEHTYPE;;0;0.00
363.00;1156337042_0;93.15;7.91;279.00;0.00;8384918_0;5.10;0.00;tripinfo_155 routing_155;84.00;155;1;591.30;0.95;0.00;8.63;DEFAULT_VEHTYPE;;0;0.00
367.00;117055114#0_0;42.57;6.29;76.00;0.40;231483339#0_0;5.10;0.00;tripinfo_42 routing_42;291.00;42;1;2445.45;0.90;0.00;43.13;DEFAULT_VEHTYPE;;2;15.00
367.00;-4730648#1_0;143.10;8.37;186.00;0.60;23179512#0_0;5.10;0.00;tripinfo_103 routing_103;181.00;103;1;1188.38;1.09;0.00;30.97;DEFAULT_VEHTYPE;;1;6.00
369.00;117055114#0_0;42.57;7.25;71.00;0.80;13654453_0;5.10;0.00;tripinfo_39 routing_39;298.00;39;1;3308.97;0.97;0.00;47.02;DEFAULT_VEHTYPE;;1;11.00
369.00;137238867#0_0;189.71;7.51;134.00;0.80;1188284582#2_0;5.10;0.00;tripinfo_74 routing_74;235.00;74;1;1815.84;1.04;0.00;32.30;DEFAULT_VEHTYPE;;1;4.00
370.00;8152038_0;88.22;8.17;278.00;0.80;627916937_0;5.10;0.00;tripinfo_154 routing_154;92.00;154;1;677.29;1.00;0.00;10.03;DEFAULT_VEHTYPE;;0;0.00
371.00;117055114#0_0;42.57;7.24;139.00;0.40;-832487280_0;5.10;0.00;tripinfo_77 routing_77;232.00;77;1;2129.49;1.02;0.00;50.09;DEFAULT_VEHTYPE;;2;18.00
371.00;1053478472#3_0;179.49;7.93;236.00;0.20;180020059#0_0;5.10;0.00;tripinfo_131 routing_131;135.00;131;1;1059.00;1.07;0.00;15.49;DEFAULT_VEHTYPE;;0;0.00
375.00;395073288_0;125.11;7.47;141.00;0.60;14858868_0;5.10;0.00;tripinfo_78 routing_78;234.00;78;1;1445.71;0.97;0.00;83.06;DEFAULT_VEHTYPE;;3;57.00
377.00;393494867_0;128.13;15.34;249.00;0.60;-5450858#1_0;5.10;0.00;tripinfo_138 routing_138;128.00;138;1;1372.87;1.15;0.00;15.83;DEFAULT_VEHTYPE;;0;0.00
380.00;720012595#0_0;96.25;7.31;179.00;0.80;E1_0;0.20;0.00;tripinfo_99 routing_99;201.00;99;1;1426.59;1.02;0.00;21.83;DEFAULT_VEHTYPE;;0;0.00
380.00;1196782590#0_1;181.75;14.78;224.00;0.80;4730649_0;5.10;0.00;tripinfo_124 routing_124;156.00;124;1;1176.03;1.10;0.00;36.31;DEFAULT_VEHTYPE;;2;15.00
380.00;117055114#0_0;42.57;7.73;360.00;0.00;31389787#2_0;5.10;0.00;tripinfo_200 routing_200;20.00;200;1;176.91;1.03;0.00;3.64;DEFAULT_VEHTYPE;;0;0.00
384.00;8152060#1_0;50.25;7.62;296.00;0.80;628782529#0_0;5.10;0.00;tripinfo_164 routing_164;88.00;164;1;563.28;1.00;0.00;19.36;DEFAULT_VEHTYPE;;1;8.00
386.00;1053478472#3_0;179.49;7.47;107.00;0.80;4690591#0_0;5.10;0.00;tripinfo_59 routing_59;279.00;59;1;1642.01;1.00;0.00;124.32;DEFAULT_VEHTYPE;;3;92.00
387.00;181218814#0_0;234.37;6.08;96.00;0.60;-628755547#5_0;5.10;0.00;tripinfo_53 routing_53;291.00;53;1;1794.14;0.85;0.00;90.34;DEFAULT_VEHTYPE;;4;48.00
388.00;-47446166_0;14.14;6.23;90.00;0.00;-14858868_0;5.10;0.00;tripinfo_50 routing_50;298.00;50;1;1822.19;0.90;0.00;57.38;DEFAULT_VEHTYPE;;4;16.00
394.00;1196782590#0_1;181.75;14.10;99.00;0.00;8152038_0;5.10;0.00;tripinfo_55 routing_55;295.00;55;1;1928.03;1.02;0.00;72.66;DEFAULT_VEHTYPE;;2;28.00
394.00;30239233#0_0;39.55;9.03;227.00;0.20;-4726710#1_0;5.10;0.00;tripinfo_126 routing_126;167.00;126;1;996.91;1.10;0.00;69.85;DEFAULT_VEHTYPE;;3;33.00
395.00;839709054_0;133.62;13.49;233.00;0.80;13654453_0;5.10;0.00;tripinfo_129 routing_129;162.00;129;1;2072.74;1.00;0.00;12.81;DEFAULT_VEHTYPE;;0;0.00
397.00;1196782590#0_1;181.75;14.93;197.00;0.80;-96016135_0;2.26;0.00;tripinfo_109 routing_109;200.00;109;1;1496.53;1.12;0.00;70.48;DEFAULT_VEHTYPE;;3;26.00
397.00;856293284_0;169.21;13.71;245.00;0.20;4730644_0;5.10;0.00;tripinfo_136 routing_136;152.00;136;1;1270.39;1.02;0.00;15.29;DEFAULT_VEHTYPE;;0;0.00
399.00;839709054_0;133.62;13.78;276.00;0.60;14858868_0;5.10;0.00;tripinfo_153 routing_153;123.00;153;1;928.84;1.02;0.00;26.87;DEFAULT_VEHTYPE;;2;6.00
402.00;625259599_1;136.88;13.94;155.00;0.20;31411842_0;5.10;0.00;tripinfo_86 routing_86;247.00;86;1;1730.64;1.09;0.00;53.57;DEFAULT_VEHTYPE;;1;9.00
403.00;393494867_0;128.13;13.67;272.00;0.20;628782529#0_0;5.10;0.00;tripinfo_151 routing_151;131.00;151;1;1205.64;1.01;0.00;22.44;DEFAULT_VEHTYPE;;1;5.00
404.00;4730649_0;249.99;7.23;220.00;0.40;1188284582#2_0;5.10;0.00;tripinfo_122 routing_122;184.00;122;1;1301.03;0.93;0.00;23.65;DEFAULT_VEHTYPE;;1;2.00
407.00;1053478472#3_0;179.49;5.65;182.00;0.20;687383599#0_0;5.10;0.00;tripinfo_101 routing_101;225.00;101;1;1359.00;0.83;0.00;63.94;DEFAULT_VEHTYPE;;2;35.00
412.00;839709054_0;133.62;15.20;287.00;0.80;-96016135_0;2.26;0.00;tripinfo_159 routing_159;125.00;159;1;1056.71;1.13;0.00;24.50;DEFAULT_VEHTYPE;;1;9.00
415.00;410939626_0;0.20;11.82;285.00;0.60;231945290#3_0;5.10;0.00;tripinfo_158 routing_158;130.00;158;1;1441.77;0.94;0.00;11.90;DEFAULT_VEHTYPE;;0;0.00
421.00;839709054_0;133.62;12.23;294.00;0.60;14858868_0;5.10;0.00;tripinfo_163 routing_163;127.00;163;1;928.84;0.89;0.00;16.27;DEFAULT_VEHTYPE;;0;0.00
422.00;-13853663_0;144.03;7.95;242.00;0.80;4730634_0;5.10;0.00;tripinfo_134 routing_134;180.00;134;1;1339.19;1.10;0.00;36.66;DEFAULT_VEHTYPE;;3;9.00
426.00;606127853_0;12.54;4.36;366.00;0.60;-4726710#1_0;5.10;0.00;tripinfo_203 routing_203;60.00;203;1;269.69;0.94;0.00;7.83;DEFAULT_VEHTYPE;;0;0.00
432.00;393494867_0;128.13;13.69;216.00;0.00;28275167_0;5.10;0.00;tripinfo_120 routing_120;216.00;120;1;1935.17;1.06;0.00;23.95;DEFAULT_VEHTYPE;;0;0.00
432.00;1196782590#0_1;181.75;14.29;243.00;0.00;628782529#0_0;5.10;0.00;tripinfo_135 routing_135;189.00;135;1;1370.23;1.03;0.00;43.47;DEFAULT_VEHTYPE;;2;15.00
432.00;4726706#2_0;132.38;8.45;333.00;0.00;39642340#2_0;5.10;0.00;tripinfo_185 routing_185;99.00;185;1;755.95;1.03;0.00;10.33;DEFAULT_VEHTYPE;;0;0.00
434.00;-40493501#4_0;48.17;8.41;177.00;0.60;36801004#1_0;5.10;0.00;tripinfo_98 routing_98;257.00;98;1;1961.44;1.02;0.00;32.64;DEFAULT_VEHTYPE;;1;2.00
440.00;377719664_0;85.28;7.77;108.00;0.00;625259600_0;5.10;0.00;tripinfo_60 routing_60;332.00;60;1;2164.81;1.00;0.00;61.17;DEFAULT_VEHTYPE;;3;12.00
442.00;4726711#1_0;85.67;8.43;162.00;0.00;524150338#0_0;5.10;0.00;tripinfo_90 routing_90;280.00;90;1;2087.29;1.02;0.00;28.16;DEFAULT_VEHTYPE;;0;0.00
445.00;1196782590#0_1;181.75;14.43;312.00;0.60;963479927#0_0;5.10;0.00;tripinfo_173 routing_173;133.00;173;1;1169.16;1.12;0.00;58.08;DEFAULT_VEHTYPE;;2;40.00
448.00;393494867_0;128.13;12.21;202.00;0.40;-4726710#1_0;5.10;0.00;tripinfo_112 routing_112;246.00;112;1;1846.40;0.96;0.00;34.35;DEFAULT_VEHTYPE;;1;7.00
