interval_begin;interval_end;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
21600.00;25200.00;-1.0;-1.88;0.0;-53.0;4726685#0;0.0;0.0;-1.88;-48.0;-0.9100000000000001;0.4299999999999997;-856.6500000000001;-0.17000000000000082;-0.020000000000000018;-41.610000000000014;0.4299999999999997;0.0
21600.00;25200.00;-1.0;-1.2699999999999996;0.0;-36.0;4726685#1;0.0;0.0;-1.2699999999999996;-34.0;-0.6000000000000001;0.5899999999999999;-369.6999999999998;-0.3199999999999994;-0.039999999999999925;13.450000000000017;0.5400000000000009;15.0
21600.00;25200.00;-5.0;9.99;0.0;31.0;4726694#0;0.0;0.0;9.99;37.0;4.95;95.2;4200.15;-4.1;-0.74;3484.2999999999997;94.93;3270.0
21600.00;25200.00;-1.0;83.0;0.0;19.0;4726694#2;0.0;0.0;83.0;20.0;41.45;452.53999999999996;18067.769999999997;-4.3100000000000005;-0.77;17871.32;447.39000000000004;17440.0
21600.00;25200.00;-3.0;-3.6999999999999997;0.0;-93.0;4726706#0;0.0;0.0;-3.6999999999999997;-90.0;-1.7999999999999998;0.9600000000000009;-2785.3900000000003;-0.23000000000000043;-0.030000000000000027;-363.29;1.0399999999999991;-20.0
21600.00;25200.00;-3.0;-5.72;0.0;-104.0;4726706#1;0.0;0.0;-5.72;-103.0;-2.5;-0.1900000000000004;-704.2800000000001;0.1800000000000006;0.020000000000000018;-188.41000000000003;-0.040000000000000036;-17.0
21600.00;25200.00;-6.0;-1.8100000000000005;0.0;-51.0;4726706#2;0.0;0.0;-1.8100000000000005;-39.0;-0.8700000000000001;0.379999999999999;-860.6899999999996;-0.14000000000000057;-0.020000000000000018;-93.32999999999998;0.3500000000000014;0.0
21600.00;25200.00;0.0;0.0;0.0;0.0;4726711#0;0.0;0.0;0.0;0.0;0.0;0.389999999999997;0.7399999999999949;-0.16999999999999993;-0.020000000000000018;0.7400000000000002;0.379999999999999;0.0
21600.00;25200.00;-1.0;23.19;0.0;4.0;4726711#1;0.0;0.0;23.19;5.0;11.58;608.4;7151.16;-7.279999999999999;-0.87;7109.23;596.92;6969.0
21600.00;25200.00;-3.0;5.789999999999999;0.0;-17.0;4726712;0.0;0.0;5.789999999999999;-19.0;2.3;156.04000000000002;2864.89;-6.470000000000001;-0.77;3180.2299999999996;116.36;3099.0
