interval_begin;interval_end;interval_id;edge_arrived;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_left;edge_sampledSeconds
0.00;3600.00;0_to_3600;4;1;68;183370113#2;0;0;65;446.83
0.00;3600.00;0_to_3600;1;8;80;183370113#3;0;0;87;890.31
0.00;3600.00;0_to_3600;2;5;69;183370113#4;0;0;72;853.69
0.00;3600.00;0_to_3600;0;0;0;18657113#0;0;0;0;0.00
0.00;3600.00;0_to_3600;9;10;273;198077804#0;19;19;274;3055.03
0.00;3600.00;0_to_3600;1;8;310;198077804#4;31;31;315;4211.33
0.00;3600.00;0_to_3600;2;11;161;198077805#0;37;37;170;1806.18
0.00;3600.00;0_to_3600;3;4;112;198077805#2;8;8;113;920.61
0.00;3600.00;0_to_3600;5;5;94;19846377#0;0;0;94;1541.88
0.00;3600.00;0_to_3600;0;5;103;19846527#0;0;0;107;1586.82
0.00;3600.00;0_to_3600;0;1;169;19846527#1;0;0;169;2608.60
0.00;3600.00;0_to_3600;6;2;169;19846527#2;0;0;164;1507.39
0.00;3600.00;0_to_3600;1;3;128;21766158;0;0;123;6462.20
0.00;3600.00;0_to_3600;1;2;239;220137286#0;0;0;236;3947.29
0.00;3600.00;0_to_3600;6;7;236;220137286#1;0;0;237;189.63
0.00;3600.00;0_to_3600;4;5;209;220137286#2;0;0;210;642.67
0.00;3600.00;0_to_3600;6;6;65;220267104#0;0;0;65;451.20
0.00;3600.00;0_to_3600;4;2;97;220267105#0;0;0;95;530.92
0.00;3600.00;0_to_3600;5;4;213;220267105#1;0;0;210;2545.47
0.00;3600.00;0_to_3600;7;4;198;220267105#2;0;0;195;2446.41
0.00;3600.00;0_to_3600;0;6;195;220267105#3;0;0;201;940.58
0.00;3600.00;0_to_3600;7;4;201;220267105#4;0;0;198;1613.16
0.00;3600.00;0_to_3600;18;0;18;220267106#0;0;0;0;482.96
0.00;3600.00;0_to_3600;2;6;13;220267107#0;0;0;17;217.37
0.00;3600.00;0_to_3600;2;8;17;220267107#1;0;0;23;314.55
0.00;3600.00;0_to_3600;2;5;60;220267108#0;0;0;63;712.78
0.00;3600.00;0_to_3600;4;4;48;220267247#0;0;0;48;170.60
0.00;3600.00;0_to_3600;2;2;33;220267247#1;0;0;33;141.18
0.00;3600.00;0_to_3600;7;5;33;220267247#2;0;0;31;44.70
0.00;3600.00;0_to_3600;19;0;31;220267247#3;0;0;12;394.05
0.00;3600.00;0_to_3600;0;18;0;23084263#0;0;0;17;218.07
0.00;3600.00;0_to_3600;2;2;32;23084263#1;0;0;32;278.86
0.00;3600.00;0_to_3600;6;2;10;23084282;0;0;6;272.25
0.00;3600.00;0_to_3600;0;23;0;231475823#0;0;0;21;4168.41
